Provider.ID,QC-T-ed_1b,QC-T-op_3b,QC-T-op_20,QC-T,QC-CP-op_6,QC-CP-op_7,QC-CP-pn_6,QC-CP-scip_inf_1,QC-CP-scip_inf_2,QC-CP-scip_inf_3,QC-CP-scip_vte_2,QC-CP-stk_6,QC-CP-vte_3,QC-CP-vte_6,QC-CP,QC-AD-readm_30_ami,QC-AD-readm_30_copd,QC-AD-readm_30_cabg,QC-AD-readm_30_hf,QC-AD-readm_30_pn,QC-AD-readm_30_hipknee,QC-AD-readm_30_stk,QC-AD,PD-mort_30_copd,PD-mort_30_cabg,PD-mort_30_ami,PD-mort_30_hf,PD-mort_30_pn,PD-mort_30_stk,QC,PD,PW,QS,State
10001,0.652161547,,0.925163983,0.788662765,1,1,0.9875,0.99,0.989010989,0.978021978,1,0.963414634,0.734375,1,0.96423226,0.327106864,0.087563793,0.216730038,0.746591201,0.124201561,0.240014394,0.348879912,0.298726823,0.136388584,0.213006598,0.939345571,0.233947368,0.454415954,0.347700109,22.79579832,12.9155788,7.083333333,42.79471045,AL
10005,0.465017065,,0.566189624,0.515603345,1,0.951612903,0.975,1,0.989010989,1,1,0.87804878,1,0.591549296,0.938522197,0.80712424,0.867848509,,0.611525598,0.802460374,0.036344009,0.150569225,0.545978659,0.546377607,,0.017557861,0.001842105,0.091642925,0.473741398,22.22338001,7.54107931,21.25,51.01445932,AL
10006,0.192832765,,0.053965414,0.123399089,1,0.983870968,0.9625,1,1,0.989010989,0.99,0.93902439,0.640625,0.887323944,0.939235529,0.876629018,0.780016116,0.370722433,0.785438642,0.29713745,0.768261965,0.868894602,0.678157175,0.593029638,0.052780396,0.030726257,0.007105263,0.099240266,0.043100326,19.34213104,4.588789698,3.75,27.68092074,AL
10007,0.354948805,,0.642516398,0.498732602,,,0.9125,0.96,1,0.956043956,1,,,,0.965708791,,0.288208434,,0.667095446,0.269458245,,0.348879912,0.393410509,0.072722283,,,0.233947368,0.078110161,0.444042014,20.64279891,6.906848557,16.66666667,44.21631414,AL
10008,0.138794084,,0.503577818,0.321185951,,,0.9125,,,,,,,,0.9125,,0.617244158,,0.47234371,0.632363378,,,0.573983749,0.338090011,,,0.255789474,0.454415954,,20.08521888,11.6477271,12.5,44.23294598,AL
10011,0.499715586,,0.795169946,0.647442766,0.986666667,1,0.95,1,0.989010989,0.989010989,1,0.87804878,0.859375,0.732394366,0.938450679,0.327106864,0.716626377,0.432509506,0.876254181,0.671871304,0.107592659,0.955196474,0.583879623,0.593029638,0.540999057,0.616520351,0.407105263,0.091642925,0.922129663,24.10858965,17.61903832,4.583333333,46.31096131,AL
10012,0.202502844,,0.807990459,0.505246652,1,1,0.9,1,0.967032967,1,1,1,0.828125,,0.966128663,0.475238923,0.370668815,,0.263184976,0.031937544,0.34041022,0.384869629,0.311051684,0.136388584,,0.020351157,0.192894737,0.005460589,0.085476277,19.80474443,2.93714229,12.91666667,35.65855339,AL
10016,0.674630262,,0.642516398,0.65857333,0.986666667,0.903225806,0.975,1,0.978021978,0.967032967,1,0.951219512,0.984375,1,0.974554193,0.213727194,0.96347032,0.101711027,0.63725238,0.198012775,0.240014394,0.208226221,0.366059187,0.136388584,0.213006598,0.926576217,0.159473684,0.296296296,0.197754437,22.21318567,10.7194212,4.166666667,37.09927353,AL
10018,0.285836177,,0.953190221,0.619513199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AL
10019,0.111205916,0.792176039,0.310971974,0.404784643,0.986666667,0.983870968,0.9625,1,0.989010989,0.967032967,0.99,0.829268293,0.921875,,0.958913876,,0.078699973,,0.390275277,0.596640643,0.898164807,0.150569225,0.422869985,0.153677278,,0.185155626,0.175789474,0.128442545,0.444042014,19.85076116,7.247379578,10,37.09814073,AL
