"","Provider.ID","QC-T-ed_1b","QC-T-op_3b","QC-T-op_20","QC-T","QC-CP-op_6","QC-CP-op_7","QC-CP-pn_6","QC-CP-scip_inf_1","QC-CP-scip_inf_2","QC-CP-scip_inf_3","QC-CP-scip_vte_2","QC-CP-stk_6","QC-CP-vte_3","QC-CP-vte_6","QC-CP","QC-AD-readm_30_ami","QC-AD-readm_30_copd","QC-AD-readm_30_cabg","QC-AD-readm_30_hf","QC-AD-readm_30_pn","QC-AD-readm_30_hipknee","QC-AD-readm_30_stk","QC-AD","PD-mort_30_copd","PD-mort_30_cabg","PD-mort_30_ami","PD-mort_30_hf","PD-mort_30_pn","PD-mort_30_stk","QC","PD","PW","QS"
"1","01014F",NA,NA,NA,NA,NA,NA,0.8875,0.98,0.989010989010989,0.945054945054945,0.96,NA,NA,NA,0.952313186813187,0.392701998262381,NA,NA,0.549524054540777,0.0745209368346345,NA,NA,0.338915663212597,NA,NA,0.129688747007183,0.967368421052632,0.404795821462488,NA,NA,16.6872554391367,NA,NA
"2","01019F",NA,NA,NA,NA,NA,NA,0.9125,NA,NA,NA,NA,NA,NA,NA,0.9125,NA,NA,NA,0.344224337535374,0.394369529216939,NA,NA,0.369296933376156,NA,NA,NA,0.775789473684211,0.108974358974359,NA,NA,14.7460638776428,NA,NA
"3","01021F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","03012F",NA,NA,NA,NA,NA,NA,0.9875,0.98,0.989010989010989,0.978021978021978,0.98,NA,NA,NA,0.982906593406593,0.21372719374457,NA,NA,0.765114484178029,0.802460373787556,NA,NA,0.593767350570052,NA,NA,0.877494014365523,0.332105263157895,0.454415954415954,NA,NA,18.4890581326597,NA,NA
"5","03013F",NA,NA,NA,NA,NA,NA,0.925,0.97,1,1,1,NA,NA,NA,0.979,0.327106863596872,NA,NA,0.207357859531773,0.0951029098651526,NA,NA,0.209855877664599,NA,NA,0.773343974461293,0.308421052631579,0.260683760683761,NA,NA,14.9160976419626,NA,NA
"6","03033F",NA,NA,NA,NA,NA,NA,0.8125,NA,NA,NA,NA,NA,NA,NA,0.8125,NA,NA,NA,0.241317211216877,0.553820676602792,NA,NA,0.397568943909834,NA,NA,NA,0.28078947368421,0.332146248812915,NA,NA,10.2155953749521,NA,NA
"7","04009F",NA,NA,NA,NA,NA,NA,0.95,0.94,0.89010989010989,1,1,NA,NA,NA,0.956021978021978,NA,NA,NA,0.344224337535374,0.85829193281287,NA,NA,0.601258135174122,NA,NA,0.233439744612929,0.17578947368421,0.710588793922127,NA,NA,12.4424223579919,NA,NA
"8","04010F",NA,NA,NA,NA,NA,NA,0.925,1,1,0.956043956043956,1,NA,NA,NA,0.976208791208791,0.432232841007819,NA,NA,0.0280421919217906,0.0667139815471965,NA,NA,0.175663004825602,NA,NA,0.324421388667199,0.775789473684211,0.683998100664767,NA,NA,19.8245440335131,NA,NA
"9","05025F",NA,NA,NA,NA,NA,NA,0.9625,0.69,0.769230769230769,0.758241758241758,1,NA,NA,NA,0.835994505494505,0.152041702867072,NA,NA,0.0313866735271418,0.510527560917909,NA,NA,0.231318645770708,NA,NA,0.519553072625698,0.213947368421053,0.040360873694207,NA,NA,8.59845905267731,NA,NA
"10","05027F",NA,NA,NA,NA,NA,NA,0.975,0.99,0.989010989010989,0.989010989010989,1,NA,NA,NA,0.988604395604396,0.29496090356212,NA,NA,0.00694623102649861,0.24509108114502,NA,NA,0.18233273857788,NA,NA,0.355147645650439,0.895263157894737,0.503798670465337,NA,NA,19.4912163778946,NA,NA
"11","05030F",NA,NA,NA,NA,NA,NA,0.925,1,0.978021978021978,0.956043956043956,0.99,NA,NA,NA,0.969813186813187,0.360990443092963,NA,NA,0.720349884229483,0.974923113319139,NA,NA,0.685421146880528,NA,NA,0.519553072625698,0.728684210526316,0.480294396961064,NA,NA,19.205907556812,NA,NA
"12","05031F",NA,NA,NA,NA,NA,NA,0.975,0.98,0.978021978021978,0.989010989010989,0.99,NA,NA,NA,0.982406593406593,0.131190269331017,NA,NA,0.187805505531258,0.0603264726756565,NA,NA,0.12644074917931,NA,NA,0.686751795690343,0.643421052631579,0.683998100664767,NA,NA,22.3796772109632,NA,NA
"13","05114F",NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,1,0.475238922675934,NA,NA,0.104708001029071,0.553820676602792,NA,NA,0.377922533435932,NA,NA,0.978850758180367,0.955789473684211,0.917616334283001,NA,NA,31.691739623862,NA,NA
"14","05127F",NA,NA,NA,NA,NA,NA,0.975,0.98,0.989010989010989,0.978021978021978,1,NA,NA,NA,0.984406593406593,0.152041702867072,NA,NA,0.171597633136095,0.32907499408564,NA,NA,0.217571443362936,NA,NA,0.579409417398244,0.117368421052632,0.632478632478632,NA,NA,14.7695163436612,NA,NA
